sample_name	unit_name	fq1	fq2	sra	read_format	call_peaks	input	peak_type	sample_group
S2-Zld_DMSO_aH3K27me3_rep1	S2-Zld_DMSO_aH3K27me3_rep1			SRR23933067	PE	TRUE	S2-Zld_DMSO_IgG_rep1	broad	S2-Zld_DMSO_aH3K27me3
S2-Zld_Taz_aH3K27me3_rep1	S2-Zld_Taz_aH3K27me3_rep1			SRR23933066	PE	TRUE	S2-Zld_DMSO_IgG_rep1	broad	S2-Zld_Taz_aH3K27me3
S2-Grh_DMSO_aH3K27me3_rep1	S2-Grh_DMSO_aH3K27me3_rep1			SRR23933065	PE	TRUE	S2-Grh_DMSO_IgG_rep1	broad	S2-Grh_DMSO_aH3K27me3
S2-Grh_Taz_aH3K27me3_rep1	S2-Grh_Taz_aH3K27me3_rep1			SRR23933064	PE	TRUE	S2-Grh_DMSO_IgG_rep1	broad	S2-Grh_Taz_aH3K27me3
S2-HA-Twi_DMSO_aH3K27me3_rep1	S2-HA-Twi_DMSO_aH3K27me3_rep1			SRR23933063	PE	TRUE	S2-HA-Twi_DMSO_IgG_rep1	broad	S2-HA-Twi_DMSO_aH3K27me3
S2-HA-Twi_Taz_aH3K27me3_rep1	S2-HA-Twi_Taz_aH3K27me3_rep1			SRR23933062	PE	TRUE	S2-HA-Twi_DMSO_IgG_rep1	broad	S2-HA-Twi_Taz_aH3K27me3
S2-Zld_DMSO_IgG_rep1	S2-Zld_DMSO_IgG_rep1			SRR23933061	PE	FALSE			S2-Zld_DMSO_IgG
S2-Grh_DMSO_IgG_rep1	S2-Grh_DMSO_IgG_rep1			SRR23933060	PE	FALSE			S2-Grh_DMSO_IgG
S2-HA-Twi_DMSO_IgG_rep1	S2-HA-Twi_DMSO_IgG_rep1			SRR23933059	PE	FALSE			S2-HA-Twi_DMSO_IgG
S2-Zld_DMSO_aH3K27me3_rep2	S2-Zld_DMSO_aH3K27me3_rep2			SRR23933057	PE	TRUE	S2-Zld_DMSO_IgG_rep2	broad	S2-Zld_DMSO_aH3K27me3
S2-Zld_Taz_aH3K27me3_rep2	S2-Zld_Taz_aH3K27me3_rep2			SRR23933056	PE	TRUE	S2-Zld_DMSO_IgG_rep2	broad	S2-Zld_Taz_aH3K27me3
S2-Grh_DMSO_aH3K27me3_rep2	S2-Grh_DMSO_aH3K27me3_rep2			SRR23933055	PE	TRUE	S2-Grh_DMSO_IgG_rep2	broad	S2-Grh_DMSO_aH3K27me3
S2-Grh_Taz_aH3K27me3_rep2	S2-Grh_Taz_aH3K27me3_rep2			SRR23933054	PE	TRUE	S2-Grh_DMSO_IgG_rep2	broad	S2-Grh_Taz_aH3K27me3
S2-HA-Twi_DMSO_aH3K27me3_rep2	S2-HA-Twi_DMSO_aH3K27me3_rep2			SRR23933053	PE	TRUE	S2-HA-Twi_DMSO_IgG_rep2	broad	S2-HA-Twi_DMSO_aH3K27me3
S2-HA-Twi_Taz_aH3K27me3_rep2	S2-HA-Twi_Taz_aH3K27me3_rep2			SRR23933052	PE	TRUE	S2-HA-Twi_DMSO_IgG_rep2	broad	S2-HA-Twi_Taz_aH3K27me3
S2-Zld_DMSO_IgG_rep2	S2-Zld_DMSO_IgG_rep2			SRR23933051	PE	FALSE			S2-Zld_DMSO_IgG
S2-Grh_DMSO_IgG_rep2	S2-Grh_DMSO_IgG_rep2			SRR23933050	PE	FALSE			S2-Grh_DMSO_IgG
S2-HA-Twi_DMSO_IgG_rep2	S2-HA-Twi_DMSO_IgG_rep2			SRR23933049	PE	FALSE			S2-HA-Twi_DMSO_IgG
